sample_id,lon,lat,state,district,event_date,elevation,slope_deg,aspect_sin,aspect_cos,plan_curv,prof_curv,tri,twi,relief_500m,rain_1d,rain_3d,rain_7d,rain_15d,rain_30d,api,rain_annual_mean,label,label_conf,loc_accuracy_km,trigger,size,category,fatalities,source,hq_location,block_id,split
56609da2e8759da5,96.174,27.9032,Arunachal Pradesh,Lohit,2014-05-08,199.8309,0.3523,0.7232,-0.6906,-0.0032,1e-04,1.9545,17.5769,14.16,58.4991,87.6348,116.869,136.7492,173.2012,112.745,1634.2084,1,0.85,1.0,rain,medium,mudslide,0,NASA_GLC,1,320025,train
3f3c69e37e0115bf,94.1079,25.4191,Manipur,Senapati,2011-07-07,1395.2852,9.5186,0.365,0.931,-0.0008,-0.0023,11.8625,13.9183,192.0171,2.1808,23.931,57.3691,184.4406,336.298,99.6435,1517.4457,1,0.6,5.0,rain,medium,landslide,0,NASA_GLC,0,240014,train
1e3b7a842e390590,94.9921,26.8716,Nagaland,Mon,2010-07-20,269.6881,5.5973,-0.3204,0.9473,-0.0048,0.0006,7.3732,14.333,212.129,16.5278,88.6187,148.3365,283.4646,577.3352,196.1325,2070.655,1,0.3,25.0,downpour,medium,landslide,0,NASA_GLC,0,270021,train
faa13b60ef2d03ee,92.35,27.4,Arunachal Pradesh,West Kameng,2008-10-29,2648.576,20.9418,0.6567,-0.7542,0.0034,0.0003,25.1549,13.0435,409.4121,0.0,78.1028,78.1028,78.1028,364.5041,90.9152,1974.4858,1,0.2,50.0,downpour,medium,mudslide,12,NASA_GLC,0,170023,train
f974f8fddce46e35,88.7334,27.3702,Sikkim,East,2010-09-04,3533.8176,7.2809,0.7807,-0.625,-0.0065,-0.0003,11.8008,14.2405,419.9422,9.7748,35.7915,58.5663,419.2523,821.6443,220.0936,3612.4756,1,0.45,10.0,downpour,medium,landslide,0,NASA_GLC,0,20023,test
9e0f8fc911fa303d,96.5242,28.0791,Arunachal Pradesh,Lohit,2011-03-22,515.6644,10.274,-0.9757,0.219,-0.0016,0.0013,12.5378,13.3243,255.6298,0.0,0.0,0.0,0.0,0.0,0.0,1580.7848,1,0.45,10.0,downpour,medium,landslide,0,NASA_GLC,0,340026,train
b289ef16c8b71b78,88.6083,27.3341,Sikkim,East,2010-04-17,1457.2401,23.9554,0.5496,-0.8354,0.0036,-1e-04,31.1701,12.7144,386.2972,20.9947,27.6385,96.7794,142.3701,308.6311,110.7073,3050.8796,1,0.6,5.0,downpour,small,landslide,0,NASA_GLC,0,20023,test
d758348a021f9e53,94.5466,26.0319,Nagaland,Zunheboto,2015-06-24,1536.9089,38.3573,-0.9353,-0.3539,-0.0004,0.0005,56.2656,12.3643,482.055,1.304,78.4969,88.5638,164.1417,303.1763,109.1149,1802.7754,1,0.6,5.0,continuous_rain,medium,landslide,0,NASA_GLC,0,260017,test
94e00e76c4656b44,94.2442,26.1677,Nagaland,Wokha,2016-06-12,805.3877,25.1933,0.5715,-0.8206,-0.0047,-0.0002,35.1747,13.0989,351.9188,8.5635,28.5738,59.4094,96.6578,341.2368,81.5531,1789.5958,1,0.1,100.0,continuous_rain,unknown,landslide,0,NASA_GLC,0,240018,train
fc6e8190484c987c,95.8011,27.174,Arunachal Pradesh,Changlang,2012-06-25,293.6634,0.7494,-0.4533,0.8914,-0.0015,-1e-04,0.9116,16.598,99.8165,3.4,54.6,101.2,193.2,313.6464,116.2746,2151.4668,1,0.45,10.0,downpour,large,landslide,0,NASA_GLC,0,310022,train
